| Idx | Short Name                                         | Start (ns)       | End (ns)         | Duration (ns) | Stream | Category        | Grid       | Block      | Regs/Thr | ShMem (B) | Comm Algorithm              | Comm Size Hint                    | Xfer Bytes | Xfer Kind | Full Name                                                                                                                                                                                                |
|-----|----------------------------------------------------|------------------|------------------|---------------|--------|-----------------|------------|------------|----------|-----------|-----------------------------|-----------------------------------|------------|-----------|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| 0   | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, ... | 3519584432612352 | 3519584432619808 | 7456          | 23     | compute_kernel  | (132,1,1)  | (256,1,1)  | 48       | 197632    |                             |                                   |            |           | void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)                                                                                 |
| 1   | triton_poi_fused_1                                 | 3519584432620128 | 3519584432622080 | 1952          | 23     | compute_kernel  | (1,1,1)    | (128,1,1)  | 47       | 0         |                             |                                   |            |           | triton_poi_fused_1                                                                                                                                                                                       |
| 2   | triton_red_fused_2                                 | 3519584432622400 | 3519584432624960 | 2560          | 23     | compute_kernel  | (2,1,1)    | (512,1,1)  | 26       | 8192      |                             |                                   |            |           | triton_red_fused_2                                                                                                                                                                                       |
| 3   | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 3519584432624992 | 3519584432630752 | 5760          | 23     | compute_kernel  | (96,1,1)   | (256,1,1)  | 255      | 172552    |                             |                                   |            |           | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                 |
| 4   | triton_poi_fused_add_copy_expand_index_mul_neg_... | 3519584432631072 | 3519584432633184 | 2112          | 23     | compute_kernel  | (2,1,1)    | (128,1,1)  | 56       | 0         |                             |                                   |            |           | triton_poi_fused_add_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                        |
| 5   | void vllm::concat_and_cache_mla_kernel<__nv_bfl... | 3519584432633504 | 3519584432635840 | 2336          | 23     | compute_kernel  | (1,1,1)    | (512,1,1)  | 30       | 0         |                             |                                   |            |           | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
| 6   | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 3519584432635840 | 3519584432638848 | 3008          | 23     | compute_kernel  | (64,1,1)   | (256,1,1)  | 255      | 156168    |                             |                                   |            |           | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                  |
| 7   | triton_poi_fused__to_copy_cat_clamp_mul_recipro... | 3519584432639360 | 3519584432641216 | 1856          | 23     | compute_kernel  | (18,1,1)   | (128,1,1)  | 16       | 0         |                             |                                   |            |           | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
| 8   | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 3519584432641472 | 3519584432650496 | 9024          | 23     | compute_kernel  | (74,2,1)   | (512,1,1)  | 128      | 161456    |                             |                                   |            |           | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP32MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
