|   idx | short_name                                         |               start_ns |                 end_ns |    duration_ns |   stream | category             | grid             | block            | reg... | shared_me... | comm_algorithm | comm_si... | transfer_bytes | transfer_kind  | full_name                                                                                                                                                                                                |
| ----- | -------------------------------------------------- | ---------------------- | ---------------------- | -------------- | -------- | -------------------- | ---------------- | ---------------- | ------ | ------------ | -------------- | ---------- | -------------- | -------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|     1 | triton_poi_fused_add_mul_0                         |       3523299770896331 |       3523299770897707 |           1376 |       23 | compute_kernel       | 7x1x1            | 128x1x1          |     26 |            0 |                |            |                |                | triton_poi_fused_add_mul_0                                                                                                                                                                               |
|     2 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299770897707 |       3523299770906795 |           9088 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|     3 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299770907307 |       3523299770925291 |          17984 |       23 | compute_kernel       | 132x1x1          | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|     4 | triton_poi_fused_1                                 |       3523299770925611 |       3523299770927211 |           1600 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     40 |            0 |                |            |                |                | triton_poi_fused_1                                                                                                                                                                                       |
|     5 | triton_red_fused_2                                 |       3523299770927563 |       3523299770929483 |           1920 |       23 | compute_kernel       | 2x1x1            | 512x1x1          |     20 |           64 |                |            |                |                | triton_red_fused_2                                                                                                                                                                                       |
|     6 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299770929803 |       3523299770934795 |           4992 |       23 | compute_kernel       | 96x1x1           | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|     7 | triton_poi_fused_add_clone_copy_expand_index_mu... |       3523299770935115 |       3523299770937003 |           1888 |       23 | compute_kernel       | 2x1x1            | 128x1x1          |     56 |            0 |                |            |                |                | triton_poi_fused_add_clone_copy_expand_index_mul_neg_slice_split_stack_unsqueeze_view_3                                                                                                                  |
|     8 | void vllm::concat_and_cache_mla_kernel<__nv_bfl... |       3523299770937355 |       3523299770939627 |           2272 |       23 | compute_kernel       | 1x1x1            | 512x1x1          |     30 |            0 |                |            |                |                | void vllm::concat_and_cache_mla_kernel<__nv_bfloat16, unsigned char, (vllm::Fp8KVCacheDataType)1>(__nv_bfloat16 const*, __nv_bfloat16 const*, unsigned char*, long const*, int, int, int, int, int, i... |
|     9 | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                  |       3523299770939947 |       3523299770942731 |           2784 |       23 | compute_kernel       | 64x1x1           | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                                                                                                                                                                        |
|    10 | triton_poi_fused__to_copy_cat_clamp_mul_recipro... |       3523299770943083 |       3523299770944587 |           1504 |       23 | compute_kernel       | 18x1x1           | 128x1x1          |     32 |            0 |                |            |                |                | triton_poi_fused__to_copy_cat_clamp_mul_reciprocal_view_0                                                                                                                                                |
|    11 | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... |       3523299770944587 |       3523299770953963 |           9376 |       23 | compute_kernel       | 74x2x1           | 512x1x1          |    128 |       161456 |                |            |                |                | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen                                                                                        |
|    12 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299770954283 |       3523299770957995 |           3712 |       23 | compute_kernel       | 128x1x1          | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|    13 | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                  |       3523299770958315 |       3523299770963883 |           5568 |       23 | compute_kernel       | 112x1x1          | 256x1x1          |    168 |       164360 |                |            |                |                | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                                                                                                                                                                        |
|    14 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299770963595 |       3523299770973707 |          10112 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|    15 | memcpy32_post                                      |       3523299770974251 |       3523299770975723 |           1472 |       23 | memory_transfer      | 14x1x1           | 256x1x1          |     16 |            0 |                |            |                | kernel_memcpy  | memcpy32_post                                                                                                                                                                                            |
|    16 | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                  |       3523299770976075 |       3523299770986955 |          10880 |       23 | compute_kernel       | 48x1x1           | 256x1x1          |    168 |       156168 |                |            |                |                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                                                                                                                                                                        |
|    17 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... |       3523299770976107 |       3523299770978987 |           2880 |     5518 | compute_kernel       | 128x1x1          | 448x1x1          |     31 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
|    18 | _ZN7cutlass13device_kernelIN10flashinfer4gemm57... |       3523299770979083 |       3523299770988587 |           9504 |     5518 | compute_kernel       | 1x8x1            | 256x1x1          |     81 |       218112 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm57DeviceGemmFp4GemmSm100___nv_bfloat16_128_64_128_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collecti... |
|    19 | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat... |       3523299770987403 |       3523299770990155 |           2752 |       23 | compute_kernel       | 1x1x1            | 448x1x1          |     29 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                               |
|    20 | triton_poi_fused_mul_silu_slice_0                  |       3523299770989035 |       3523299770991147 |           2112 |     5518 | compute_kernel       | 1x1x1            | 128x1x1          |     16 |            0 |                |            |                |                | triton_poi_fused_mul_silu_slice_0                                                                                                                                                                        |
|    21 | void at::native::vectorized_elementwise_kernel<... |       3523299770990603 |       3523299770993035 |           2432 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     32 |            0 |                |            |                |                | void at::native::vectorized_elementwise_kernel<8, at::native::bfloat16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::bfloat16_copy_kernel_c... |
|    22 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false... |       3523299770991627 |       3523299770994123 |           2496 |     5518 | compute_kernel       | 128x1x1          | 16x1x1           |     31 |            0 |                |            |                |                | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false>(int, int, int, __nv_bfloat16 const*, float const*, unsigned int*, unsigned int*)                                                                        |
|    23 | void at::native::unrolled_elementwise_kernel<at... |       3523299770993515 |       3523299770996907 |           3392 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     30 |            0 |                |            |                |                | void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std... |
|    24 | _ZN7cutlass13device_kernelIN10flashinfer4gemm58... |       3523299770994507 |       3523299770998923 |           4416 |     5518 | compute_kernel       | 1x56x1           | 256x1x1          |    109 |       201728 |                |            |                |                | _ZN7cutlass13device_kernelIN10flashinfer4gemm58DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM12Sm10x11xOnlyINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS5_10collective13Collect... |
|    25 | void moe::dev::routing::routingDeepSeek::routin... |       3523299770997067 |       3523299771001483 |           4416 |       23 | compute_kernel       | 1x1x1            | 384x1x1          |     32 |         3296 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingMainKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::routing::rout... |
|    26 | void moe::dev::routing::routingDeepSeek::routin... |       3523299770998571 |       3523299771003883 |           5312 |       23 | compute_kernel       | 8x1x1            | 384x1x1          |     40 |         3200 |                |            |                |                | void moe::dev::routing::routingDeepSeek::routingIndicesClusterKernel<moe::dev::routing::routingDeepSeek::KernelParams<float, __nv_bfloat16, __nv_bfloat16, 384, 8, false, true, true> >(moe::dev::rou... |
|    27 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51... |       3523299771003787 |       3523299771013355 |           9568 |       23 | compute_kernel       | 4x8x1            | 512x1x1          |    128 |       202240 |                |            |                |                | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedS_biasM_bN_ldgsts_tmaOpt_clmp_swiGlu_dynBatch_sm100f                                       |
|    28 | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256... |       3523299771009515 |       3523299771017131 |           7616 |       23 | compute_kernel       | 56x8x1           | 512x1x1          |    128 |       124672 |                |            |                |                | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_cga1x1x1_16dp256b_rM_TN_transOut_schedP2x1x2x3_biasM_bN_tmaOpt_clmp_dynBatch_sm100f                                                 |
|    29 | void moe::dev::finalize::finalizeKernel<moe::de... |       3523299771015531 |       3523299771019595 |           4064 |       23 | compute_kernel       | 28x1x1           | 256x1x1          |     32 |            0 |                |            |                |                | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16... |
|    30 | triton_poi_fused_add_mul_0                         |       3523299771019915 |       3523299771021419 |           1504 |       23 | compute_kernel       | 7x1x1            | 128x1x1          |     26 |            0 |                |            |                |                | triton_poi_fused_add_mul_0                                                                                                                                                                               |
|    31 | void flashinfer::trtllm_allreduce_fusion::allre... |       3523299771021419 |       3523299771031819 |          10400 |       23 | communication        | 4x1x1            | 224x1x1          |     62 |          136 | oneshot        |          8 |                |                | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, true, true>(flashinfer::trtllm_al... |
|    32 | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                 |       3523299771032139 |       3523299771050860 |          18721 |       23 | compute_kernel       | 132x1x1          | 256x1x1          |    168 |       172552 |                |            |                |                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                                                                                                                                                                       |
|    33 | triton_poi_fused_1                                 |       3523299771051180 |       3523299771052619 |           1439 |       23 | compute_kernel       | 1x1x1            | 128x1x1          |     40 |            0 |                |            |                |                | triton_poi_fused_1                                                                                                                                                                                       |
