========================================================================================================================
MEDIAN TRANSFORMER BLOCK (MoE Type B - Decode Mode)
Model: nvidia/Kimi-K2.5-NVFP4 | Framework: vLLM v0.16.0 | GPU: B200
========================================================================================================================

Block: MoE_post_16
Wall time: 123232 ns (123.2 us)
Compute time: 152735 ns
Idle time: 0 ns (0.0%)
Operations: 29

Block: MoE_post_16  Type: MoE_B  Status: REPRESENTATIVE
Ops: 29  Wall: 123232 ns  Compute: 152735 ns  Idle: 0 ns (0.0%)
Op range: [802..830] (1-indexed)

| pos   | idx   | high_level_op                                    | kernel_name                                             | stream  | grid           | dur_ns     | source_code_ref                                                             | source_code_explanation                                                                                                                                                                                  |
| ----- | ----- | ------------------------------------------------ | ------------------------------------------------------- | ------- | -------------- | ---------- | --------------------------------------------------------------------------- | -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|     1 |   802 | moe_scale_add_shared                             | triton_poi_fused_add_mul_0                              |      23 | 7x1x1          |       1504 | deepseek_v2.py:356-365                                                      | Multiplies routed expert output by routed_scaling_factor=2.827 and adds shared expert output. Compiled by torch.compile into fused Triton kernel triton_poi_fused_add_mul_0.                             |
|     2 |   803 | fused_allreduce_input_rmsnorm                    | void flashinfer::trtllm_allreduce_fusion::allre...      |      23 | 4x1x1          |       8064 | allreduce_rms_fusion.py:85-150, deepseek_v2.py:994-995                      | Fused TRT-LLM kernel combining: (1) AllReduce of previous layer MoE/MLP output across 8 TP ranks, (2) residual addition, (3) RMSNorm(7168, eps=1e-05) for current layer input. Uses Lamport-based oneshot allreduce. |
|     3 |   804 | qkv_a_proj_gemm                                  | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                      |      23 | 132x1x1        |      18112 | mla.py:132, deepseek_v2.py:759-766                                          | MergedColumnParallelLinear (replicated, disable_tp=True) computing fused Q/KV low-rank projection. BF16 GEMM: [B,7168] x [7168,2112] -> [B,2112]. Output split into q_c=[B,1536] and kv_lora=[B,576]. Uses CUTLASS nvjet kernel. |
|     4 |   805 | q_a_layernorm_elementwise                        | triton_poi_fused_1                                      |      23 | 1x1x1          |       1600 | mla.py:137, layernorm.py:93                                                 | Pointwise part of RMSNorm(1536, eps=1e-05) on compressed Q representation q_c. Compiled by torch.compile into Triton pointwise kernel.                                                                   |
|     5 |   806 | q_a_layernorm_reduce                             | triton_red_fused_2                                      |      23 | 2x1x1          |       2080 | mla.py:137, layernorm.py:93                                                 | Reduction part of RMSNorm(1536, eps=1e-05) on compressed Q representation q_c. Compiled by torch.compile into Triton reduction kernel.                                                                   |
|     6 |   807 | q_b_proj_gemm                                    | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                      |      23 | 96x1x1         |       5280 | mla.py:138, deepseek_v2.py:778-784                                          | ColumnParallelLinear projecting low-rank Q to full heads. BF16 GEMM: [B,1536] x [1536,1536] -> [B,1536] per TP rank (total output 12288). Uses CUTLASS nvjet kernel.                                     |
|     7 |   808 | rope_kva_layernorm_fused                         | triton_poi_fused_add_clone_copy_expand_index_mu...      |      23 | 2x1x1          |       2240 | mla.py:149-159                                                              | Torch.compile fused kernel combining: KV split (kv_c=[B,512], k_pe=[B,64]), RMSNorm(512) on kv_c, Q reshape, k_pe unsqueeze, and YaRN-scaled RoPE application. All from mla.py:149-159.                  |
|     8 |   809 | kv_cache_store                                   | void vllm::concat_and_cache_mla_kernel<__nv_bfl...      |      23 | 1x1x1          |       2303 | mla_attention.py:524-531                                                    | Stores compressed KV representations (kv_c_normed + k_pe) into FP8 KV cache at slot_mapping positions. Kernel: vllm::concat_and_cache_mla_kernel.                                                        |
|     9 |   810 | q_absorption_bmm                                 | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                       |      23 | 64x1x1         |       2815 | mla_attention.py:601-615                                                    | BMM: [8,B,128] x [8,128,512] -> [8,B,512]. Projects Q_nope into latent space via W_UK_T absorption matrix. This is the MQA decode-path optimization where Q is projected into KV latent space.           |
|    10 |   811 | q_latent_pe_concat_fp8_prep                      | triton_poi_fused__to_copy_cat_clamp_mul_recipro...      |      23 | 18x1x1         |       1792 | mla_attention.py:620-624                                                    | Concatenates Q_latent=[B,8,512] with Q_PE=[B,8,64], applies clamping and reciprocal scaling for FP8 quantization preparation. Fused by torch.compile.                                                    |
|    11 |   812 | decode_mla_attention                             | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP...      |      23 | 74x2x1         |       9184 | mla_attention.py:635, flashinfer_mla.py:153-202                             | TRT-LLM FMHA kernel for Multi-head Latent Attention decode. Queries absorbed latent+PE against paged FP8 KV cache. Kernel: fmhaSm100f with E4M3 QKV format, 576 QK head dim, 512 V head dim.             |
|    12 |   813 | v_up_proj_bmm                                    | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                       |      23 | 128x1x1        |       3552 | mla_attention.py:647, mla_attention.py:787-821                              | BMM: [8,B,512] x [8,512,128] -> [8,B,128]. Projects latent attention output back to V space via W_UV matrix. Output reshaped to [B,1024].                                                                |
|    13 |   814 | o_proj_gemm                                      | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                       |      23 | 112x1x1        |       5248 | mla.py:176, deepseek_v2.py:801-807                                          | RowParallelLinear output projection. BF16 GEMM: [B,1024] x [1024,7168] -> [B,7168]. Output fed to allreduce across 8 TP ranks.                                                                           |
|    14 |   815 | fused_allreduce_post_attn_rmsnorm                | void flashinfer::trtllm_allreduce_fusion::allre...      |      23 | 4x1x1          |      10016 | allreduce_rms_fusion.py:85-150, deepseek_v2.py:1019                         | Fused TRT-LLM kernel combining: (1) AllReduce of o_proj output, (2) residual addition, (3) RMSNorm(7168) for post-attention normalization. Feeds into MoE/MLP.                                           |
|    15 |   816 | allreduce_completion_memcpy                      | memcpy32_post                                           |      23 | 14x1x1         |       1056 | allreduce_rms_fusion.py:85-150 (lamport signaling)                          | Memory copy kernel (memcpy32_post) that signals allreduce completion in the Lamport-based oneshot protocol. Part of the fused allreduce infrastructure.                                                  |
|    16 |   817 | moe_gate_router_gemm                             | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                       |      23 | 48x1x1         |      10880 | deepseek_v2.py:251-257, deepseek_v2.py:344-346                              | ReplicatedLinear computing router logits. BF16 GEMM: [B,7168] x [7168,384] -> [B,384]. Output used for sigmoid scoring and top-8 expert selection.                                                       |
|    17 |   818 | shared_expert_gate_up_act_fp4_quant              | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false...      |    5518 | 128x1x1        |       2721 | nvfp4_utils.py:214 (shared expert path)                                     | FP4 activation quantization (cvt_fp16_to_fp4) for shared expert gate+up projection input. Runs on stream 5518 concurrently with routed expert processing on stream 23.                                   |
|    18 |   819 | shared_expert_gate_up_nvfp4_gemm                 | _ZN7cutlass13device_kernelIN10flashinfer4gemm57...      |    5518 | 1x8x1          |       9440 | deepseek_v2.py:286-296, nvfp4_utils.py:214                                  | NVFP4 GEMM via FlashInfer CUTLASS backend for shared expert gate+up projection. [B,7168] x [7168,4096] with FP4 weights and activations.                                                                 |
|    19 |   820 | moe_routed_act_fp4_quant                         | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat...      |      23 | 1x1x1          |       2593 | nvfp4_utils.py:214 (routed expert act quant)                                | FP4 activation quantization (cvt_fp16_to_fp4_sf_major, scale-factor-major layout) for routed expert input. Uses FLASHINFER_TRTLLM format.                                                                |
|    20 |   821 | shared_expert_silu_mul                           | triton_poi_fused_mul_silu_slice_0                       |    5518 | 1x1x1          |       2144 | deepseek_v2.py:218, activation.py:SiluAndMul                                | SiLU activation + element-wise multiply for shared expert. Splits gate+up output, applies SiLU to gate half, multiplies with up half. Compiled as Triton kernel.                                         |
|    21 |   822 | moe_routing_sigmoid                              | void at::native::vectorized_elementwise_kernel<...      |      23 | 1x1x1          |       2400 | deepseek_v2.py:344 (sigmoid scoring_func)                                   | Sigmoid activation on router logits. Part of the noaux_tc topk_method scoring. PyTorch vectorized_elementwise_kernel.                                                                                    |
|    22 |   823 | shared_expert_down_act_fp4_quant                 | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false...      |    5518 | 128x1x1        |       2240 | nvfp4_utils.py:214 (shared expert down path)                                | FP4 activation quantization for shared expert down projection input. Runs on stream 5518.                                                                                                                |
|    23 |   824 | moe_routing_bias_correction                      | void at::native::unrolled_elementwise_kernel<at...      |      23 | 1x1x1          |       3200 | deepseek_v2.py:258-263 (e_score_correction_bias)                            | Adds e_score_correction_bias to router scores for noaux_tc topk routing. PyTorch unrolled_elementwise_kernel.                                                                                            |
|    24 |   825 | shared_expert_down_nvfp4_gemm                    | _ZN7cutlass13device_kernelIN10flashinfer4gemm58...      |    5518 | 1x56x1         |      10112 | deepseek_v2.py:219, nvfp4_utils.py:214                                      | NVFP4 GEMM for shared expert down projection. [B,2048] x [2048,7168] with FP4. No reduce (reduce_results=False).                                                                                         |
|    25 |   826 | moe_topk_routing_main                            | void moe::dev::routing::routingDeepSeek::routin...      |      23 | 1x1x1          |       4352 | fused_moe/flashinfer_cutlass_moe.py (topk routing)                          | Main routing kernel for DeepSeek top-8 expert selection. Computes top-k scores and assigns tokens to experts.                                                                                            |
|    26 |   827 | moe_routing_indices                              | void moe::dev::routing::routingDeepSeek::routin...      |      23 | 8x1x1          |       5312 | fused_moe/flashinfer_cutlass_moe.py (index clustering)                      | Clustering kernel that organizes token-to-expert assignments into contiguous batches for efficient expert computation.                                                                                   |
|    27 |   828 | fused_moe_gate_up_siglu_gemm                     | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51...      |      23 | 4x8x1          |       9824 | fused_moe/flashinfer_cutlass_moe.py:196-290 (NVFP4 MoE gate_up+SiGLU)       | Fused MoE NVFP4 GEMM for gate+up projection with SwiGLU activation. Part of FLASHINFER_TRTLLM fused MoE kernel. Processes top-8 of 384 experts per EP rank.                                              |
|    28 |   829 | fused_moe_down_gemm                              | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256...      |      23 | 56x8x1         |       8127 | fused_moe/flashinfer_cutlass_moe.py:196-290 (NVFP4 MoE down proj)           | Fused MoE NVFP4 GEMM for down projection. Part of FLASHINFER_TRTLLM fused MoE kernel. Produces final expert outputs.                                                                                     |
|    29 |   830 | moe_finalize_combine                             | void moe::dev::finalize::finalizeKernel<moe::de...      |      23 | 28x1x1         |       4544 | fused_moe/flashinfer_cutlass_moe.py (expert output combine)                 | Combines weighted expert outputs back to token dimension. Applies routing weights and reduces across selected experts.                                                                                   |
