============================================================================================================================================
SINGLE-TRACE TRANSFORMER BLOCK VISUALIZATION
Model: nvidia/Kimi-K2.5-NVFP4  |  Framework: vLLM v0.16.0  |  GPU: NVIDIA B200 (Blackwell)
Execution: BS=1 ISL=4 OSL=1024  |  Mode: decode
Block: MoE_post_16 (MoE (Type B) — DeepseekV2DecoderLayer)
============================================================================================================================================

Wall time:    123232 ns (123.2 us)
Compute time: 152735 ns (152.7 us)
Operations:   29
CUDA streams: 2

PER-STREAM SUMMARY
--------------------------------------------------------------------------------
  Stream    23:  24 ops, 2 lane(s), total compute 126078 ns
  Stream  5518:   5 ops, 2 lane(s), total compute 26657 ns

ALL OPERATIONS (sorted by start_ns)
--------------------------------------------------------------------------------------------------------------------------------------------
|  pos |   idx | stream |  tid |     start_ns |     dur_ns | high_level_op                                | kernel_name                                              | grid           |
| ---- | ----- | ------ | ---- | ------------ | ---------- | -------------------------------------------- | -------------------------------------------------------- | -------------- |
|    1 |   802 |     23 |    0 |            0 |       1504 | moe_scale_add_shared                         | triton_poi_fused_add_mul_0                               | 7x1x1          |
|    2 |   803 |     23 |    0 |         1536 |       8064 | fused_allreduce_input_rmsnorm                | void flashinfer::trtllm_allreduce_fusion::allre...       | 4x1x1          |
|    3 |   804 |     23 |    0 |         9920 |      18112 | qkv_a_proj_gemm                              | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                       | 132x1x1        |
|    4 |   805 |     23 |    0 |        28352 |       1600 | q_a_layernorm_elementwise                    | triton_poi_fused_1                                       | 1x1x1          |
|    5 |   806 |     23 |    0 |        30528 |       2080 | q_a_layernorm_reduce                         | triton_red_fused_2                                       | 2x1x1          |
|    6 |   807 |     23 |    0 |        32928 |       5280 | q_b_proj_gemm                                | nvjet_tst_16x64_64x16_4x1_v_bz_TNN                       | 96x1x1         |
|    7 |   808 |     23 |    0 |        38528 |       2240 | rope_kva_layernorm_fused                     | triton_poi_fused_add_clone_copy_expand_index_mu...       | 2x1x1          |
|    8 |   809 |     23 |    0 |        41121 |       2303 | kv_cache_store                               | void vllm::concat_and_cache_mla_kernel<__nv_bfl...       | 1x1x1          |
|    9 |   810 |     23 |    0 |        43617 |       2815 | q_absorption_bmm                             | nvjet_tst_64x8_64x16_4x1_v_bz_NNT                        | 64x1x1         |
|   10 |   811 |     23 |    0 |        46752 |       1792 | q_latent_pe_concat_fp8_prep                  | triton_poi_fused__to_copy_cat_clamp_mul_recipro...       | 18x1x1         |
|   11 |   812 |     23 |    0 |        48544 |       9184 | decode_mla_attention                         | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP...       | 74x2x1         |
|   12 |   813 |     23 |    0 |        58048 |       3552 | v_up_proj_bmm                                | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                        | 128x1x1        |
|   13 |   814 |     23 |    0 |        61920 |       5248 | o_proj_gemm                                  | nvjet_tst_64x8_64x16_4x1_v_bz_TNT                        | 112x1x1        |
|   14 |   815 |     23 |    1 |        67008 |      10016 | fused_allreduce_post_attn_rmsnorm            | void flashinfer::trtllm_allreduce_fusion::allre...       | 4x1x1          |
|   15 |   816 |     23 |    0 |        77600 |       1056 | allreduce_completion_memcpy                  | memcpy32_post                                            | 14x1x1         |
|   16 |   817 |     23 |    0 |        79008 |      10880 | moe_gate_router_gemm                         | nvjet_tst_8x64_64x16_4x1_v_bz_TNN                        | 48x1x1         |
|   17 |   818 |   5518 |    0 |        79008 |       2721 | shared_expert_gate_up_act_fp4_quant          | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false...       | 128x1x1        |
|   18 |   819 |   5518 |    1 |        81696 |       9440 | shared_expert_gate_up_nvfp4_gemm             | _ZN7cutlass13device_kernelIN10flashinfer4gemm57...       | 1x8x1          |
|   19 |   820 |     23 |    0 |        90528 |       2593 | moe_routed_act_fp4_quant                     | void vllm::cvt_fp16_to_fp4_sf_major<__nv_bfloat...       | 1x1x1          |
|   20 |   821 |   5518 |    0 |        91713 |       2144 | shared_expert_silu_mul                       | triton_poi_fused_mul_silu_slice_0                        | 1x1x1          |
|   21 |   822 |     23 |    0 |        93600 |       2400 | moe_routing_sigmoid                          | void at::native::vectorized_elementwise_kernel<...       | 1x1x1          |
|   22 |   823 |   5518 |    0 |        94400 |       2240 | shared_expert_down_act_fp4_quant             | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, false...       | 128x1x1        |
|   23 |   824 |     23 |    0 |        96320 |       3200 | moe_routing_bias_correction                  | void at::native::unrolled_elementwise_kernel<at...       | 1x1x1          |
|   24 |   825 |   5518 |    0 |        96768 |      10112 | shared_expert_down_nvfp4_gemm                | _ZN7cutlass13device_kernelIN10flashinfer4gemm58...       | 1x56x1         |
|   25 |   826 |     23 |    0 |        99680 |       4352 | moe_topk_routing_main                        | void moe::dev::routing::routingDeepSeek::routin...       | 1x1x1          |
|   26 |   827 |     23 |    1 |       101280 |       5312 | moe_routing_indices                          | void moe::dev::routing::routingDeepSeek::routin...       | 8x1x1          |
|   27 |   828 |     23 |    0 |       106528 |       9824 | fused_moe_gate_up_siglu_gemm                 | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x51...       | 4x8x1          |
|   28 |   829 |     23 |    1 |       112257 |       8127 | fused_moe_down_gemm                          | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256...       | 56x8x1         |
|   29 |   830 |     23 |    0 |       118688 |       4544 | moe_finalize_combine                         | void moe::dev::finalize::finalizeKernel<moe::de...       | 28x1x1         |

