========================================================================================================================
MEDIAN BLOCK -- MoE Decoder Layer (Decode Mode)
========================================================================================================================
Model           : nvidia/Kimi-K2.5-NVFP4
Block index     : 3 of 38
Block label     : REPRESENTATIVE
Op range        : 84-109 (26 ops)
Wall time       : 90144 ns (90.1 us)
Compute time    : 129215 ns
Overlap time    : 39071 ns

Timing distribution across 34 representative blocks:
  min=87072, p25=89472, median=90144, p75=92160, max=96256, CoV=2.5%

+-----+---------------------------------+----------------------------------------------------+--------+-------------+------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | high_level_op                   | kernel_name                                        | stream | duration_ns | source_code_ref                                                                                                  | source_code_explanation                                                                                                                                                                                                                                                                                                   |
+-----+---------------------------------+----------------------------------------------------+--------+-------------+------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 0   | input_rmsnorm_residual_add      | kernel_cutlass_kernel_flashinfernormkernelsfuse... | 7      | 3328        | python/sglang/srt/layers/layernorm.py -> FlashInfer fused_add_rmsnorm                                            | Fused residual-add + RMSNorm at decoder layer input (hidden_size=7168, eps=1e-5). Adds the residual from the previous layer's MLP/MoE output to the current hidden states, then applies RMSNorm. First fused_add_rmsnorm in the block, called from LayerCommunicator.prepare_attn().                                      |
| 1   | fused_qkv_a_proj_gemm           | fused_a_gemm_kernel                                | 7      | 7520        | sgl-kernel/csrc/gemm/dsv3_fused_a_gemm.cu -> deepseek_v2.py:1576 prepare_qkv_latent()                            | Fused min-latency GEMM for joint Q/KV/rope A-projection: [1,7168]->[1,2112]. Custom kernel for bs<=16 on SM>=90. Computes q_lora(1536), kv_latent(512), k_pe(64) in one pass.                                                                                                                                             |
| 2   | q_a_layernorm                   | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 7      | 3968        | python/sglang/srt/layers/layernorm.py -> forward_mla.py:119 q_a_layernorm                                        | RMSNorm on q_lora_rank=1536 dimension. Normalizes the compressed Q representation before Q-B projection. Runs on main stream, overlapped with KV-A norm on alt stream during CUDA graph capture.                                                                                                                          |
| 3   | kv_a_layernorm                  | kernel_cutlass_kernel_flashinfernormkernelsrmsn... | 3488   | 1568        | python/sglang/srt/layers/layernorm.py -> forward_mla.py:121 kv_a_layernorm                                       | RMSNorm on kv_lora_rank=512 dimension. Normalizes the compressed KV latent representation before it is used as the key in MLA attention. Runs on alt_stream(3488) overlapped with Q-A norm on main stream during CUDA graph capture.                                                                                      |
| 4   | q_b_proj_gemm                   | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 7      | 5504        | cuBLAS nvjet via torch.nn.functional.linear -> forward_mla.py:212 self.q_b_proj(q)                               | Q B-projection GEMM: [1,1536]->[1,1536] (ColumnParallelLinear, TP-sharded). Expands compressed Q lora to full Q with nope+rope components for all local attention heads. Uses BF16 cuBLAS (attention weights not FP4-quantized in NVFP4 checkpoint). Grid(96,1,1) on SM100 Blackwell.                                     |
| 5   | w_kc_absorbed_bmm               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 7      | 3616        | cuBLAS nvjet via torch.bmm -> forward_mla.py:311 torch.bmm(q_nope.T, self.w_kc)                                  | Absorbed W_kc batched matrix multiply: [8,1,128]x[8,128,512]->[8,1,512]. Pre-multiplies Q_nope by the absorbed K projection matrix (W_kc) to avoid explicit KV-B projection in decode. BF16 cuBLAS BMM with batch=num_local_heads=8. Grid(64,1,1) on SM100.                                                               |
| 6   | rope_quantize_kv                | RopeQuantizeKernel                                 | 7      | 2176        | FlashInfer RopeQuantizeKernel -> radix_attention.py -> TRT-LLM MLA backend                                       | Fused RoPE application + FP8 quantization for KV cache. Applies DeepSeek YARN rotary position embedding to q_pe and k_pe, then quantizes k_pe to fp8_e4m3 for paged KV cache storage. Runs before attention and KV cache write.                                                                                           |
| 7   | set_mla_kv_buffer               | set_mla_kv_buffer_kernel                           | 7      | 1664        | python/sglang/srt/mem_cache/utils.py:26-83 (Triton kernel) -> radix_attention.py                                 | Writes MLA KV cache entries to paged memory. Splits the latent cache into nope(512) and rope(64) components, casts to FP8, and writes to the paged KV buffer at the appropriate cache locations. Handles boundary cases where blocks span the nope/rope dimension boundary.                                               |
| 8   | mla_decode_attention            | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVP... | 7      | 9376        | sgl-kernel/csrc/attention/cutlass_mla_kernel.cu -> TRT-LLM MLA decode backend                                    | SM100 fused multi-head latent attention (FMHA) decode kernel. Performs paged KV attention with Q=[q_nope_out(512)+q_pe(64)], KV cache in FP8 with page_size=64. Uses TMA and warp-specialized scheduling for Blackwell. Fuses RoPE for K within the kernel via cos_sin_cache. Grid(74,2,1) for 8 local heads x multi-CTA. |
