# GPU Operations Trace - nvidia/Kimi-K2.5-NVFP4 on vLLM (GPU 0)
# Trace: trace-vllm-nvidia__Kimi-K2.5-NVFP4-tp_8-isl_4-osl_1024-b_1-mode_kimi_k25_nvfp4_b200.sqlite
# Total ops on device 0: 89772 | Showing last 1000 (steady-state)
# Time window: 731620171 .. 778401251 ns
# Categories: {'compute_kernel': 920, 'communication': 68, 'memory_transfer': 12}
#
+-----+----------------------------------------------------+-----------+-----------+-------------+--------+-----------------+-------+-------+------+--------+-----------+-----------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | short_name                                         | start_ns  | end_ns    | duration_ns | stream | category        | grid  | block | regs | shmem  | comm_algo | comm_size | xfer_bytes | xfer_kind | full_name                                                                                                                                                                                                |
+-----+----------------------------------------------------+-----------+-----------+-------------+--------+-----------------+-------+-------+------+--------+-----------+-----------+------------+-----------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 0   | vectorized_elementwise_kernel                      | 731620171 | 731621387 | 1216        | 3649   | compute_kernel  | 1     | 128   | 16   | 0      |           |           |            |           | void at::native::vectorized_elementwise_kernel<(int)4, at::native::FillFunctor<int>, std::array<char *, (unsigned long)1>>(int, T2, T3)                                                                  |
| 1   | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512.. | 731621067 | 731631115 | 10048       | 23     | compute_kernel  | 4x8   | 512   | 128  | 202240 |           |           |            |           | bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schedS_biasFp32M_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f                                         |
| 2   | cvt_fp16_to_fp4                                    | 731622283 | 731623915 | 1632        | 3649   | compute_kernel  | 128   | 32    | 32   | 0      |           |           |            |           | void vllm::cvt_fp16_to_fp4<__nv_bfloat16, (bool)0>(int, int, int, const T1 *, const float *, unsigned int *, unsigned int *)                                                                             |
| 3   | device_kernel                                      | 731624043 | 731628843 | 4800        | 3649   | compute_kernel  | 1x56  | 256   | 109  | 201728 |           |           |            |           | void cutlass::device_kernel<flashinfer::gemm::DeviceGemmFp4GemmSm100___nv_bfloat16_128_128_256_1_2_1_1SM::Sm10x11xOnly<cutlass::gemm::kernel::GemmUniversal<cute::tuple<int, int, int, int>, cutlass::.. |
| 4   | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_.. | 731627019 | 731634443 | 7424        | 23     | compute_kernel  | 56x8  | 512   | 128  | 184432 |           |           |            |           | bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f                                                     |
| 5   | finalizeKernel                                     | 731633515 | 731636939 | 3424        | 23     | compute_kernel  | 28    | 256   | 32   | 0      |           |           |            |           | void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, (int)4, (bool)1>>(T1)                                                                 |
| 6   | triton_poi_fused_add_mul_0                         | 731637259 | 731638986 | 1727        | 23     | compute_kernel  | 7     | 128   | 26   | 0      |           |           |            |           | triton_poi_fused_add_mul_0                                                                                                                                                                               |
| 7   | allreduce_fusion_kernel_oneshot_lamport            | 731638987 | 731648235 | 9248        | 23     | communication   | 4     | 224   | 62   | 136    | allreduce | 896       |            |           | void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, (int)8, (bool)1, (bool)1>(flashinfer:.. |
| 8   | fused_a_gemm_kernel                                | 731648555 | 731656011 | 7456        | 23     | compute_kernel  | 132   | 256   | 48   | 197632 |           |           |            |           | void fused_a_gemm_kernel<(int)1, (int)2112, (int)7168, (int)16, (int)8, (int)256, (int)16>(__nv_bfloat16 *, const __nv_bfloat16 *, const __nv_bfloat16 *, int)                                           |
