========================================================================================================================
MEDIAN TRANSFORMER BLOCK
========================================================================================================================
Model     : nvidia/Kimi-K2.5-NVFP4
Framework : vLLM v0.19.2rc1
Block type: MoE_Decode
Block idx : 10 (of 33 total)
Status    : REPRESENTATIVE

Timing:
  Wall time    :      97919 ns (97.9 us)
  Compute time :     124253 ns (124.3 us)
  Idle time    :     -26334 ns (-26.9%)

Distribution (representative blocks):
  Min=95647 P25=96864 Median=97919 P75=98784 Max=102240 CoV=1.52%


================================================================================
MEDIAN BLOCK 10 (ops 297..325)
  Type: MoE_Decode  |  Status: REPRESENTATIVE  |  Ops: 29
  Wall time: 97919 ns  |  Compute: 124253 ns  |  Idle: -26334 ns (-26.9%)
  Time range: 732621996 .. 732719915 ns
+-----+-------------------------------+----------------------------------------------------+--------+-------------+---------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| idx | high_level_op                 | kernel_name                                        | stream | duration_ns | source_code_ref                                                                             | source_code_explanation                                                                                                                                                                                                                                                                                                                                           |
+-----+-------------------------------+----------------------------------------------------+--------+-------------+---------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| 0   | fused_ar_input_rmsnorm        | allreduce_fusion_kernel_oneshot_lamport            | 23     | 7040        | deepseek_v2.py:1123 -> allreduce_rms_fusion.py -> flashinfer allreduce_fusion               | Fused AllReduce + RMSNorm(7168) + residual add for decoder layer input_layernorm. Combines the TP-partial output from the previous layers MoE/MLP with the residual connection, then normalizes. Uses FlashInfer TRT-LLM allreduce fusion kernel with Lamport synchronization for low-latency 8-GPU allreduce.                                                    |
| 1   | fused_qkv_a_proj_gemm         | fused_a_gemm_kernel                                | 23     | 7584        | deepseek_v2.py:828 -> mla.py:132 -> dsv3_fused_a_gemm PDL kernel                            | Low-latency PDL (Programmatic Dependent Launch) GEMM kernel optimized for Blackwell SM100. Projects hidden_states(7168) to compressed QKV latent space(2112=q_lora_rank(1536)+kv_lora_rank(512)+qk_rope_head_dim(64)). Replicated across TP ranks (no TP split). Uses dsv3_fused_a_gemm with grid=132 blocks.                                                     |
| 2   | qa_layernorm_pointwise        | triton_poi_fused_1                                 | 23     | 1760        | mla.py:137 -> torch.compile fuses q_a_layernorm RMSNorm + split/view into pointwise triton  | Torch.compile/Inductor-generated Triton pointwise kernel. Implements the split of QKV-A output into q_compressed(1536) and kv_lora(576), followed by the pointwise operations of RMSNorm on q_compressed (element-wise multiply by weight and normalization scaling). Fused with view/reshape operations.                                                         |
| 3   | qa_layernorm_reduction        | triton_red_fused_2                                 | 23     | 2431        | mla.py:137 -> torch.compile RMSNorm reduction (variance computation) compiled to triton_red | Torch.compile/Inductor-generated Triton reduction kernel. Computes the variance/mean-square reduction across dim=1536 needed for RMSNorm of q_compressed. Uses 2 thread blocks with 512 threads each for the reduction.                                                                                                                                           |
| 4   | q_b_proj_gemm                 | nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN           | 23     | 5792        | mla.py:138 -> ColumnParallelLinear(1536,12288) -> nvjet cuBLAS GEMM 1536->1536/rank         | cuBLAS nvJet GEMM for Q-B projection. Projects q_compressed(1536) through ColumnParallelLinear to produce per-head query vectors: 1536 -> 8 heads x 192(qk_head_dim) = 1536 dims per TP rank. Uses SM100-optimized nvjet kernel with TNN layout, grid=96.                                                                                                         |
| 5   | rope_kva_layernorm_reshape    | triton_poi_fused_add_clone_copy_expand_index_mul.. | 23     | 2112        | mla.py:149-158 -> fused kv_a_layernorm + RoPE + split/view/reshape ops compiled to triton   | Torch.compile/Inductor-generated Triton pointwise kernel. Fuses multiple operations: (1) split kv_lora into kv_c(512) and k_pe(64), (2) RMSNorm on kv_c (kv_a_layernorm), (3) YaRN-scaled RoPE on q_pe and k_pe, (4) reshape/view operations for attention input preparation. Name includes add/clone/copy/expand/index/mul/neg/slice/split/stack/unsqueeze/view. |
| 6   | mla_kv_cache_update           | concat_and_cache_mla_kernel                        | 23     | 2079        | mla_attention.py -> unified_mla_kv_cache_update custom op -> concat_and_cache_mla_kernel    | Custom CUDA kernel (concat_and_cache_mla_kernel) that concatenates kv_c(512) and k_pe(64) into a single 576-dim vector and writes it to the paged KV cache in fp8_e4m3 format with quantization. Block size=32 tokens per page.                                                                                                                                   |
| 7   | w_uk_absorb_bmm               | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_NNT            | 23     | 2880        | mla_attention.py:732 -> torch.bmm(q_nope, W_UK_T) absorbs kv_b_proj into query, nvjet BMM   | cuBLAS nvJet batched matrix multiply that absorbs kv_b_proj into the query. Computes q_nope(8 heads, batch, 128) x W_UK_T(8, 128, 512) -> mqa_ql_nope(8, batch, 512). Projects query from qk_nope_head_dim(128) to kv_lora_rank(512) for latent-space attention. Uses NNT layout, grid=64.                                                                        |
| 8   | mla_q_pe_concat_scale         | triton_poi_fused__to_copy_cat_clamp_mul_reciproc.. | 23     | 1696        | mla_attention.py:740-744 -> triton fused concat q_pe+q_nope, clamp, scale by softmax_scale  | Torch.compile/Inductor-generated Triton pointwise kernel. Concatenates mqa_ql_nope(512) with q_pe(64) to form the full MLA query(576). Applies softmax scaling (clamp + mul + reciprocal). Reshapes for the MLA decode attention kernel input format.                                                                                                             |
| 9   | mla_decode_attention          | fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512HVPe.. | 23     | 9536        | flashinfer_mla.py -> trtllm_batch_decode_with_kv_cache_mla, MQA in latent space             | FlashInfer TRT-LLM MLA decode attention kernel (fmhaSm100f). Performs multi-query attention in the compressed latent space: q(576) attends to fp8_e4m3 KV cache entries. Uses SM100-optimized FMHA with 8 query heads, kv_lora_rank=512, rope_dim=64. Paged KV with block_size=32, variable sequence length.                                                      |
| 10  | w_uv_up_proj_bmm              | nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN            | 23     | 4000        | mla_attention.py:775->978 -> torch.bmm(attn_out, W_UV) V up-projection, nvjet BMM           | cuBLAS nvJet batched matrix multiply for V up-projection. Computes attn_output(8 heads, batch, 512) x W_UV(8, 512, 128) -> v_output(8, batch, 128). Projects attention output from kv_lora_rank(512) back to v_head_dim(128). Uses TNN layout, grid=128.                                                                                                          |
| 11  | o_proj_gemm                   | nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT            | 23     | 5568        | mla.py:176 -> RowParallelLinear(8192,7168) -> nvjet cuBLAS GEMM 1024->7168/rank             | cuBLAS nvJet GEMM for output projection. RowParallelLinear projects concatenated head outputs: 8 heads x 128(v_head_dim) = 1024 -> 7168(hidden_size) per TP rank. Produces TP-partial sum that requires allreduce. Uses TNT layout, grid=112.                                                                                                                     |
| 12  | fused_ar_post_attn_rmsnorm    | allreduce_fusion_kernel_oneshot_lamport            | 23     | 7904        | deepseek_v2.py:1147 -> allreduce_rms_fusion.py -> flashinfer allreduce_fusion               | Fused AllReduce + RMSNorm(7168) + residual add for decoder layer post_attention_layernorm. Combines the TP-partial output from o_proj with the residual connection, then normalizes for MoE input. Same FlashInfer TRT-LLM allreduce fusion kernel as input layernorm.                                                                                            |
| 13  | moe_gate_router_gemm          | router_gemm_kernel_float_output                    | 23     | 2880        | deepseek_v2.py:367 -> GateLinear(7168,384) -> router_gemm_kernel 7168->384                  | Specialized router GEMM kernel (router_gemm_kernel_float_output). Projects hidden_states(7168) to expert logits(384) in float32. Uses BF16 input weights with float32 output for numerical precision in routing decisions. Grid=384 (one block per expert). Adds e_score_correction_bias.                                                                         |
| 14  | shared_exp_buffer_init        | vectorized_elementwise_kernel                      | 3649   | 1408        | fused_moe shared expert -> FillFunctor<int> initializes shared expert workspace buffer      | PyTorch FillFunctor<int> kernel on stream 3649 that initializes the shared expert output buffer. Grid=14 covers the workspace. Runs in parallel with main-stream MoE operations.                                                                                                                                                                                  |
| 15  | shared_exp_gate_up_fp4_quant  | cvt_fp16_to_fp4                                    | 3649   | 1824        | fused_moe shared expert -> cvt_fp16_to_fp4 quantizes input for shared gate_up GEMM          | vLLM cvt_fp16_to_fp4 kernel on stream 3649 that quantizes BF16 input to NVFP4 for the shared expert gate_up GEMM. Grid=128x2 (larger than MoE input quant due to shared expert intermediate size).                                                                                                                                                                |
| 16  | moe_workspace_zero_fill       | vectorized_elementwise_kernel                      | 23     | 2368        | fused_moe/prepare -> FillFunctor<unsigned char> zeros output workspace for expert GEMM      | PyTorch FillFunctor<unsigned char> kernel that zeros out the MoE output workspace buffer before expert computation. Ensures clean accumulation of expert outputs during the finalize step. Single thread block, stream 23.                                                                                                                                        |
